MES ;ANO;DESTINO;DESTINAÄ«O;RES÷DUO;CLASSE;CLASSE_12;MASSA(t);VIAGENS;Volume (m3);ORIGEM;NOTAS;
Mar;2010;CTRS BR040;ATERRAGEM;RES÷DUOS URPV - TERRA;RCC;RCCV;8,323;3;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;CAPIM;RPU;RSU;47,51;31;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;CAPINA;RPU;RSU;27,12;8;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;19351,67;2905;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;COLETA ESPECIAL;RDO;RSU;179,79;52;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;699,01;318;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;57,55;21;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;MANUTENÄ«O GERAL DA CTRS;RPU;RSU;59,56;33;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;PODA ATERRADA;RPO ;RPO;101,67;75;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;RES÷DUOS DIVERSOS;Outros;RSU;522,4;160;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;12,47;11;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;239,96;63;;SLU;;
Mar;2010;TRANSBORDO;ATERRAGEM;VARRIÄ«O;RPU;RSU;58,31;27;;SLU;;
Abr;2010;ESTAÄ«O CTRS BR040;RECICLAGEM RCC;ENTULHO RECEBIDO;RCC;RCCV;4560;;3800;SLU;;
Abr;2010;ESTAÄ«O ESTORIL;RECICLAGEM RCC;ENTULHO RECEBIDO;RCC;RCCV;2809,2;;2341;SLU;;
Abr;2010;ESTAÄ«O PAMPULHA;RECICLAGEM RCC;ENTULHO RECEBIDO;RCC;RCCV;6134,4;;5112;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;CAPINA;RPU;RSU;906,3;;;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;2966,9;;;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;8165,46;;;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;COL. RES. COMUNS UND DE SAUDE;RDO;RSU;31,55;;;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;1870,45;;;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;29360,46;;;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;COLETA RES÷DUOS ORG∂NICOS;RDO;RSU;303,68;;;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;ENTULHO RECEBIDO;RCC;RCCV;74,55;;;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;LIMP.OBRA DE ARTE E P‡S-EVENTO;RPU;RSU;17,52;;;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA;RPU;RSU;2712,99;;;SLU;;
Abr;2010;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA - URPV;Outros;RSU;11007,02;;;SLU;;
